Date	State	Confirmed	Deaths	State of Emergency Declared	Stay at home ordered	Gatherings banned	Out-of-state Travel Restrictions	Schools closed	Daycares Closed	Bars and Restaurants Closed	Non-essential retails closed
2020/01/22	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/23	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/24	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/25	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/26	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/27	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/28	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/29	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/30	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/01/31	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/01	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/02	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/03	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/04	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/05	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/06	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/07	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/08	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/09	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/10	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/11	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/12	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/13	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/14	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/15	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/16	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/17	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/18	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/19	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/20	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/21	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/22	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/23	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/24	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/25	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/26	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/27	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/28	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/02/29	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/01	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/02	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/03	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/04	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/05	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/06	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/07	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/08	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/09	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/10	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/11	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/12	Alabama	0.0	0.0	0	1	0.0	0.0	0	0	0	0
2020/03/13	Alabama	5.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/14	Alabama	1.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/15	Alabama	6.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/16	Alabama	17.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/17	Alabama	10.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/18	Alabama	7.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/19	Alabama	32.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/20	Alabama	5.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/21	Alabama	48.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/22	Alabama	26.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/23	Alabama	39.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/24	Alabama	46.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/25	Alabama	139.0	1.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/26	Alabama	136.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/27	Alabama	70.0	3.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/28	Alabama	107.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/29	Alabama	131.0	6.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/30	Alabama	74.0	0.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/03/31	Alabama	88.0	13.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/04/01	Alabama	73.0	4.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/04/02	Alabama	173.0	5.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/04/03	Alabama	262.0	6.0	1	1	0.15000000000000002	1.0	0	0	0	0
2020/01/22	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/23	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/24	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/25	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/26	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/27	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/28	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/29	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/30	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/01/31	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/01	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/02	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/03	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/04	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/05	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/06	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/07	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/08	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/09	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/10	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/11	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/12	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/13	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/14	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/15	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/16	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/17	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/18	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/19	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/20	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/21	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/22	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/23	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/24	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/25	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/26	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/27	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/28	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/02/29	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/01	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/02	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/03	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/04	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/05	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/06	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/07	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/08	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/09	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/10	Alaska	0.0	0.0	0	0	0.0	0.0	1	1	1	1
2020/03/11	Alaska	0.0	0.0	1	0	0.15000000000000002	0.05	1	1	1	1
2020/03/12	Alaska	0.0	0.0	1	0	0.15000000000000002	0.05	1	1	1	1
2020/03/13	Alaska	1.0	0.0	1	0	0.15000000000000002	0.05	1	1	1	1
