Date	Date_index	State	Confirmed	Deaths	Cumulative Confirmed	Cumulative Deaths	State of Emergency Declared	Stay at home ordered	Gatherings banned	Out-of-state Travel Restrictions	Schools closed	Daycares Closed	Bars and Restaurants Closed	Non-essential retails closed	Lat	Long	Population	Area	Density
2020-01-22	1	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-23	2	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-24	3	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-25	4	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-26	5	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-27	6	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-28	7	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-29	8	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-30	9	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-01-31	10	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-01	11	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-02	12	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-03	13	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-04	14	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-05	15	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-06	16	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-07	17	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-08	18	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-09	19	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-10	20	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-11	21	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
2020-02-12	22	Alabama	0.0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	32.3182	-86.9023	4903185	135767	36.11
